"bZIP29_1";"bZIP29_2";"bZIP29_3";"WT_1";"WT_2";"WT_3"
"204";45.2424635961086;29.6358602978783;33.8171915850631;47.5684854175334;40.8319431686488;38.0265661840616
"206";21.5310519523649;26.281801784436;25.8824315483444;23.4621084960069;20.9893138876693;31.0482867513482
"207";14.9354638859443;15.4687176216966;12.5948572011408;16.4825338862108;17.2999808052761;10.7202553604003
"208";49.4396560020127;NA;NA;50.6824494742117;55.2402845309681;53.2473061061394
"210";22.5122138134854;15.2184147475591;17.5698257955915;21.0461019003082;NA;24.1711418031668
"214";12.2100142717209;12.9656888803218;13.2246000611979;NA;NA;9.10210360788708
"217";17.93345846159;NA;NA;NA;19.294214903867;24.2217090454328
"218";42.7895589433075;NA;NA;NA;29.6642322165398;82.9302773163045
"220";21.0949800140892;NA;16.814134363523;19.3817418010492;16.1034403461216;19.8223589682874
"221";32.2693234324052;21.1255625772038;30.6055029987722;31.0859515313226;23.1829713961193;38.4311041221899
"222";28.9442749030526;23.9790153423712;21.0963858119109;34.4683607653008;30.7610609707647;28.5704918803122
"225";32.7599043629654;22.4271375227187;25.6305344043216;33.6093361979412;33.3037094464682;28.4693573957802
"226";33.1959763012411;26.8324681075385;28.0865315585441;29.0994572193037;35.6967903647773;21.0359727826724
"228";118.448040234149;114.238231756349;106.993311923691;144.477194422779;NA;110.995096773956
"229";376.875172654813;442.485420900248;345.413958741287;399.392734786717;392.515126455155;NA
"230";129.077293729621;141.170821013542;133.190614902064;143.94030406818;146.626062098896;123.738041824998
"232";99.8604738651458;82.9003119143354;NA;95.1906598705268;NA;89.3017498418255
"233";25.7827533505535;25.3807114375411;23.8672543961619;28.669944935624;31.0103402330886;25.1319194062216
"237";14.9899728782288;14.1170821013542;13.6024457772321;15.1939970351715;14.0593503950659;14.5633657726193
"241";11.3378703951694;10.8130841627394;11.7761914830667;NA;9.72189123063067;9.2538053346852
"242";21.8581059060718;17.8716252134165;NA;20.6702786520885;23.7812416256966;19.1144175765629
"243";22.6212317980543;NA;19.0182343737227;NA;27.8694215278079;17.4456985817836
"244";28.9987838953371;31.6382832909782;33.3133972970175;33.1261348788015;33.552988708792;32.5147367770633
"245";464.089560309962;549.064384707989;399.949690422227;480.516867366732;502.497136992444;433.057862766361
"246";11.2288524106005;NA;9.1312714708271;12.509545262173;15.2558908542204;10.265150180006
"247";14.7719369090909;NA;13.5394714912264;18.0932049500099;16.9011339855579;12.793512293308
"248";127.387514968802;104.176056216022;121.540371991009;129.712709671288;NA;122.726696979677
"251";202.500906336799;201.393692531021;204.099660944487;186.300953046096;201.617067367541;193.470268909867
"252";21.5855609446494;14.5676272748017;16.6881857915116;20.6165896166285;18.0478185922477;16.5860554632609
"253";119.974292018115;126.00246684081;121.540371991009;120.692951714013;132.566711703831;122.423293526081
"255";32.3783414169741;31.8385255902882;31.5501172888578;23.5157975314669;23.5818182158375;33.2732454110539
"256";164.944210652801;149.981482183182;140.747529222749;184.797660053217;177.436978922126;150.033007803339
"258";75.7129902831263;62.525657959544;63.226183149727;92.9357203812081;77.8249856975102;76.2554013371873
"259";59.3057836055014;62.725900258854;66.4378717360179;64.3194644810441;63.9650587123034;62.3494097140265
"260";102.858468440792;82.0492821422679;91.3756889942767;94.975903728687;98.6148761753204;93.5999654344388
"262";15.6440807856424;12.1647196830818;14.9249057833519;13.1001246522327;13.8599269852068;15.2207399220778
"263";12.3735412485743;14.2672638258367;17.3809029375743;10.4156728792342;14.0094945426011;17.0917278859213
"265";19.4597102455552;21.1756231520313;17.5698257955915;21.6366812903679;19.9921968383739;20.3280313909478
"266";689.756788367661;615.244464629941;NA;NA;878.111129462041;584.911291291277
"267";31.0156166098624;NA;43.1373859139073;18.0395159145499;18.9452239366136;39.1390455139145
"269";101.931815571956;90.309276988805;107.874951927771;83.0032488211136;87.5967327806056;112.107576103809
"270";10.356708534049;NA;11.1464486230096;9.61033734733463;NA;NA
"272";37.6112046762831;38.6467637668278;NA;NA;45.1694023330841;33.374379895586
"275";10.1386725649111;11.2636293361869;11.0205000509982;9.39558120549475;9.77174708309545;10.7708226026664
"276";93.5919397524319;108.631447375669;109.701206221937;69.3662338142813;74.6840669922295;119.186990021055
"277";934.720199694061;1181.02908133031;1064.07651063838;1055.15061389479;1103.26015919295;997.287151970828
"279";219.180657975847;NA;186.781732292919;241.708037640785;244.991659011893;180.52505488976
"280";86.1787168017442;100.521634253614;124.563137719283;73.6613566510789;75.4319047792011;116.405791696423
"281";207.733769596108;187.576973878632;152.46074641981;260.230754874475;252.370325176679;172.585997853992
"283";87.4869326165715;74.7904987922808;73.868837484691;104.800997217861;92.1834712073647;81.2615583215252
"284";45.4604995652465;36.7945224982104;39.6738001835936;60.2390977860864;59.1788968756852;38.6839403335201
